model,test_row_id,actual,predicted_label,actual_sentiment,predicted_sentiment,score,absolute_score,is_correct,is_error,error_type,clean_word_count,clean_character_length
linear_svm_tfidf,0,1,1,positive,positive,1.7962026736821537,1.7962026736821537,True,False,correct,164,872
linear_svm_tfidf,1,0,1,negative,positive,0.0615093440001791,0.0615093440001791,False,True,false_positive,197,917
linear_svm_tfidf,2,0,1,negative,positive,0.5435723529813843,0.5435723529813843,False,True,false_positive,634,3522
linear_svm_tfidf,3,0,0,negative,negative,-1.0867798131184585,1.0867798131184585,True,False,correct,108,625
linear_svm_tfidf,4,1,1,positive,positive,0.1222450384147876,0.1222450384147876,True,False,correct,132,676
linear_svm_tfidf,5,1,1,positive,positive,0.5944671696471248,0.5944671696471248,True,False,correct,34,196
linear_svm_tfidf,6,0,0,negative,negative,-1.2589535975820954,1.2589535975820954,True,False,correct,633,3337
linear_svm_tfidf,7,0,0,negative,negative,-0.2387092900032962,0.2387092900032962,True,False,correct,688,3822
linear_svm_tfidf,8,0,0,negative,negative,-1.7298578737606298,1.7298578737606298,True,False,correct,281,1529
linear_svm_tfidf,9,0,0,negative,negative,-1.8701658062646087,1.8701658062646087,True,False,correct,133,723
linear_svm_tfidf,10,0,0,negative,negative,-1.3808604093391006,1.3808604093391006,True,False,correct,75,400
linear_svm_tfidf,11,0,0,negative,negative,-0.1245432304157408,0.1245432304157408,True,False,correct,313,1732
linear_svm_tfidf,12,0,0,negative,negative,-0.4402760561505758,0.4402760561505758,True,False,correct,177,927
linear_svm_tfidf,13,0,0,negative,negative,-0.9476914734907338,0.9476914734907338,True,False,correct,146,781
linear_svm_tfidf,14,0,0,negative,negative,-0.9976394069793726,0.9976394069793726,True,False,correct,119,661
linear_svm_tfidf,15,1,1,positive,positive,1.274045686844362,1.274045686844362,True,False,correct,71,379
linear_svm_tfidf,16,0,0,negative,negative,-2.025505294049496,2.025505294049496,True,False,correct,170,921
linear_svm_tfidf,17,1,1,positive,positive,2.0311661084983865,2.0311661084983865,True,False,correct,112,620
linear_svm_tfidf,18,0,0,negative,negative,-0.6236947526670554,0.6236947526670554,True,False,correct,130,722
linear_svm_tfidf,19,0,0,negative,negative,-1.7296511216957169,1.7296511216957169,True,False,correct,125,645
linear_svm_tfidf,20,1,1,positive,positive,0.8770692026981799,0.8770692026981799,True,False,correct,124,642
linear_svm_tfidf,21,1,1,positive,positive,1.20885117483647,1.20885117483647,True,False,correct,792,4215
linear_svm_tfidf,22,1,1,positive,positive,0.4823638157143525,0.4823638157143525,True,False,correct,408,2212
linear_svm_tfidf,23,0,1,negative,positive,0.5726504093964504,0.5726504093964504,False,True,false_positive,120,615
linear_svm_tfidf,24,0,0,negative,negative,-0.6957367522640437,0.6957367522640437,True,False,correct,176,961
linear_svm_tfidf,25,1,1,positive,positive,1.9531861760023728,1.9531861760023728,True,False,correct,239,1375
linear_svm_tfidf,26,1,1,positive,positive,0.6284200430189307,0.6284200430189307,True,False,correct,54,323
linear_svm_tfidf,27,1,1,positive,positive,0.6423835293723826,0.6423835293723826,True,False,correct,328,1797
linear_svm_tfidf,28,0,0,negative,negative,-0.3557754086674211,0.3557754086674211,True,False,correct,506,2781
linear_svm_tfidf,29,0,1,negative,positive,0.6129258711714867,0.6129258711714867,False,True,false_positive,140,716
linear_svm_tfidf,30,1,0,positive,negative,-0.5803861591158507,0.5803861591158507,False,True,false_negative,345,1836
linear_svm_tfidf,31,0,0,negative,negative,-0.6475767080859577,0.6475767080859577,True,False,correct,98,585
linear_svm_tfidf,32,0,0,negative,negative,-1.1256419101415671,1.1256419101415671,True,False,correct,83,516
linear_svm_tfidf,33,1,1,positive,positive,0.8181733679422142,0.8181733679422142,True,False,correct,140,782
linear_svm_tfidf,34,0,0,negative,negative,-1.300413972571876,1.300413972571876,True,False,correct,279,1431
linear_svm_tfidf,35,1,1,positive,positive,1.8580989144785365,1.8580989144785365,True,False,correct,378,2069
linear_svm_tfidf,36,1,1,positive,positive,0.9880403600583266,0.9880403600583266,True,False,correct,102,555
linear_svm_tfidf,37,1,1,positive,positive,1.6579989839225973,1.6579989839225973,True,False,correct,300,1577
linear_svm_tfidf,38,0,0,negative,negative,-0.8585291982903097,0.8585291982903097,True,False,correct,473,2673
linear_svm_tfidf,39,0,0,negative,negative,-1.027561244591961,1.027561244591961,True,False,correct,282,1615
linear_svm_tfidf,40,1,1,positive,positive,0.8940429459951021,0.8940429459951021,True,False,correct,727,3904
linear_svm_tfidf,41,1,1,positive,positive,0.8852698932077951,0.8852698932077951,True,False,correct,104,595
linear_svm_tfidf,42,0,0,negative,negative,-1.6942703884562256,1.6942703884562256,True,False,correct,164,871
linear_svm_tfidf,43,1,1,positive,positive,2.213929162381392,2.213929162381392,True,False,correct,168,893
linear_svm_tfidf,44,0,0,negative,negative,-0.6760023443783273,0.6760023443783273,True,False,correct,152,832
linear_svm_tfidf,45,0,0,negative,negative,-1.6681783524186329,1.6681783524186329,True,False,correct,169,891
linear_svm_tfidf,46,1,1,positive,positive,0.1764001712567138,0.1764001712567138,True,False,correct,111,619
linear_svm_tfidf,47,1,1,positive,positive,1.3240425238738052,1.3240425238738052,True,False,correct,182,925
linear_svm_tfidf,48,0,0,negative,negative,-1.7533461668008767,1.7533461668008767,True,False,correct,171,917
linear_svm_tfidf,49,1,1,positive,positive,2.3734181644600145,2.3734181644600145,True,False,correct,167,887
linear_svm_tfidf,50,0,0,negative,negative,-1.0689481125635898,1.0689481125635898,True,False,correct,136,641
linear_svm_tfidf,51,0,0,negative,negative,-0.8549431041548796,0.8549431041548796,True,False,correct,40,212
linear_svm_tfidf,52,1,1,positive,positive,1.7778924156660885,1.7778924156660885,True,False,correct,158,895
linear_svm_tfidf,53,0,0,negative,negative,-1.6431069752956942,1.6431069752956942,True,False,correct,156,838
linear_svm_tfidf,54,1,1,positive,positive,1.3735956999958732,1.3735956999958732,True,False,correct,123,699
linear_svm_tfidf,55,0,0,negative,negative,-0.6654554025216957,0.6654554025216957,True,False,correct,205,1053
linear_svm_tfidf,56,0,0,negative,negative,-2.1892259306098847,2.1892259306098847,True,False,correct,141,759
linear_svm_tfidf,57,1,1,positive,positive,1.6902835427299057,1.6902835427299057,True,False,correct,275,1490
linear_svm_tfidf,58,1,1,positive,positive,0.4337227711123876,0.4337227711123876,True,False,correct,52,275
linear_svm_tfidf,59,1,1,positive,positive,1.0480656863115951,1.0480656863115951,True,False,correct,54,261
linear_svm_tfidf,60,1,1,positive,positive,0.6709389671230184,0.6709389671230184,True,False,correct,72,399
linear_svm_tfidf,61,1,1,positive,positive,1.6671063955446594,1.6671063955446594,True,False,correct,301,1745
linear_svm_tfidf,62,0,0,negative,negative,-2.356460420416313,2.356460420416313,True,False,correct,142,790
linear_svm_tfidf,63,1,1,positive,positive,1.713125624377945,1.713125624377945,True,False,correct,250,1399
linear_svm_tfidf,64,0,0,negative,negative,-1.6462192961115996,1.6462192961115996,True,False,correct,233,1291
linear_svm_tfidf,65,1,1,positive,positive,0.238538125320851,0.238538125320851,True,False,correct,139,752
linear_svm_tfidf,66,0,1,negative,positive,0.4430919088909135,0.4430919088909135,False,True,false_positive,181,1043
linear_svm_tfidf,67,1,1,positive,positive,0.6494354320683612,0.6494354320683612,True,False,correct,176,993
linear_svm_tfidf,68,0,0,negative,negative,-1.9912702384187944,1.9912702384187944,True,False,correct,48,250
linear_svm_tfidf,69,0,0,negative,negative,-0.0163407940365346,0.0163407940365346,True,False,correct,483,2724
linear_svm_tfidf,70,0,0,negative,negative,-0.7009000466876519,0.7009000466876519,True,False,correct,152,776
linear_svm_tfidf,71,1,1,positive,positive,0.716708566286942,0.716708566286942,True,False,correct,106,598
linear_svm_tfidf,72,1,1,positive,positive,1.0926361176049415,1.0926361176049415,True,False,correct,149,774
linear_svm_tfidf,73,0,0,negative,negative,-0.7385368827278133,0.7385368827278133,True,False,correct,256,1330
linear_svm_tfidf,74,0,0,negative,negative,-1.2679083721875155,1.2679083721875155,True,False,correct,122,683
linear_svm_tfidf,75,1,1,positive,positive,0.427095011606869,0.427095011606869,True,False,correct,335,1836
linear_svm_tfidf,76,0,0,negative,negative,-2.9488212392346536,2.9488212392346536,True,False,correct,250,1320
linear_svm_tfidf,77,1,1,positive,positive,0.4171420685479865,0.4171420685479865,True,False,correct,150,805
linear_svm_tfidf,78,1,1,positive,positive,0.2222293608348386,0.2222293608348386,True,False,correct,133,728
linear_svm_tfidf,79,0,0,negative,negative,-0.524534164655494,0.524534164655494,True,False,correct,468,2837
linear_svm_tfidf,80,1,1,positive,positive,1.511670264229653,1.511670264229653,True,False,correct,102,570
linear_svm_tfidf,81,0,1,negative,positive,0.804253885094819,0.804253885094819,False,True,false_positive,392,2122
linear_svm_tfidf,82,1,1,positive,positive,1.6760102027470687,1.6760102027470687,True,False,correct,900,4857
linear_svm_tfidf,83,1,1,positive,positive,1.209499493223612,1.209499493223612,True,False,correct,223,1150
linear_svm_tfidf,84,0,0,negative,negative,-0.2079464161365758,0.2079464161365758,True,False,correct,117,702
linear_svm_tfidf,85,1,1,positive,positive,1.043366789930004,1.043366789930004,True,False,correct,259,1391
linear_svm_tfidf,86,0,0,negative,negative,-0.0288301610370495,0.0288301610370495,True,False,correct,892,5012
linear_svm_tfidf,87,0,0,negative,negative,-0.5907817400331857,0.5907817400331857,True,False,correct,310,1644
linear_svm_tfidf,88,1,1,positive,positive,1.1607479991181866,1.1607479991181866,True,False,correct,144,832
linear_svm_tfidf,89,1,1,positive,positive,1.5323482665148935,1.5323482665148935,True,False,correct,380,1961
linear_svm_tfidf,90,0,1,negative,positive,0.2620642229320993,0.2620642229320993,False,True,false_positive,260,1423
linear_svm_tfidf,91,0,0,negative,negative,-0.1925781174974949,0.1925781174974949,True,False,correct,179,932
linear_svm_tfidf,92,0,0,negative,negative,-2.0943855554629,2.0943855554629,True,False,correct,251,1361
linear_svm_tfidf,93,0,0,negative,negative,-0.4657347806968208,0.4657347806968208,True,False,correct,121,657
linear_svm_tfidf,94,1,1,positive,positive,0.6761089107204286,0.6761089107204286,True,False,correct,640,3415
linear_svm_tfidf,95,1,1,positive,positive,0.0134651944009628,0.0134651944009628,True,False,correct,170,919
linear_svm_tfidf,96,1,1,positive,positive,0.0014051088932776,0.0014051088932776,True,False,correct,192,1035
linear_svm_tfidf,97,1,1,positive,positive,1.4650305932106975,1.4650305932106975,True,False,correct,169,971
linear_svm_tfidf,98,0,0,negative,negative,-1.2906913711017831,1.2906913711017831,True,False,correct,116,609
linear_svm_tfidf,99,1,1,positive,positive,0.7187836191840788,0.7187836191840788,True,False,correct,375,2054
linear_svm_tfidf,100,1,1,positive,positive,0.9492927156486968,0.9492927156486968,True,False,correct,95,542
linear_svm_tfidf,101,1,1,positive,positive,0.9392126591059182,0.9392126591059182,True,False,correct,406,2160
linear_svm_tfidf,102,1,1,positive,positive,0.8606483348240083,0.8606483348240083,True,False,correct,133,739
linear_svm_tfidf,103,0,0,negative,negative,-0.7315000824390802,0.7315000824390802,True,False,correct,195,1194
linear_svm_tfidf,104,1,1,positive,positive,0.7222264067498243,0.7222264067498243,True,False,correct,494,2826
linear_svm_tfidf,105,1,1,positive,positive,1.3133673778148782,1.3133673778148782,True,False,correct,137,762
linear_svm_tfidf,106,1,1,positive,positive,1.0177557140783384,1.0177557140783384,True,False,correct,123,661
linear_svm_tfidf,107,1,0,positive,negative,-0.0849600754762787,0.0849600754762787,False,True,false_negative,163,901
linear_svm_tfidf,108,0,0,negative,negative,-2.493212083719373,2.493212083719373,True,False,correct,232,1232
linear_svm_tfidf,109,1,1,positive,positive,1.7695274704013209,1.7695274704013209,True,False,correct,108,615
linear_svm_tfidf,110,1,1,positive,positive,0.7486909193527298,0.7486909193527298,True,False,correct,74,399
linear_svm_tfidf,111,0,0,negative,negative,-1.8209004307217376,1.8209004307217376,True,False,correct,142,714
linear_svm_tfidf,112,1,1,positive,positive,1.9784105199222757,1.9784105199222757,True,False,correct,46,255
linear_svm_tfidf,113,1,1,positive,positive,1.0176695433292764,1.0176695433292764,True,False,correct,333,1863
linear_svm_tfidf,114,1,1,positive,positive,0.2671964964586097,0.2671964964586097,True,False,correct,220,1111
linear_svm_tfidf,115,0,1,negative,positive,0.0417533279269716,0.0417533279269716,False,True,false_positive,220,1102
linear_svm_tfidf,116,0,0,negative,negative,-0.4878860704886502,0.4878860704886502,True,False,correct,151,805
linear_svm_tfidf,117,1,1,positive,positive,1.2329639365994154,1.2329639365994154,True,False,correct,109,606
linear_svm_tfidf,118,0,0,negative,negative,-0.4537668654071424,0.4537668654071424,True,False,correct,122,708
linear_svm_tfidf,119,1,1,positive,positive,1.16055665330068,1.16055665330068,True,False,correct,118,645
linear_svm_tfidf,120,0,0,negative,negative,-0.5966742995570984,0.5966742995570984,True,False,correct,180,952
linear_svm_tfidf,121,1,1,positive,positive,0.9820990573487944,0.9820990573487944,True,False,correct,389,2061
linear_svm_tfidf,122,0,0,negative,negative,-1.3008506122942092,1.3008506122942092,True,False,correct,404,2294
linear_svm_tfidf,123,0,0,negative,negative,-1.3698192546191612,1.3698192546191612,True,False,correct,144,833
linear_svm_tfidf,124,1,1,positive,positive,0.4092666934686538,0.4092666934686538,True,False,correct,221,1152
linear_svm_tfidf,125,0,0,negative,negative,-2.0148049397921373,2.0148049397921373,True,False,correct,115,621
linear_svm_tfidf,126,1,0,positive,negative,-0.103014370464222,0.103014370464222,False,True,false_negative,171,931
linear_svm_tfidf,127,0,0,negative,negative,-0.9235292610835308,0.9235292610835308,True,False,correct,299,1554
linear_svm_tfidf,128,1,1,positive,positive,0.4190754618965375,0.4190754618965375,True,False,correct,112,607
linear_svm_tfidf,129,1,1,positive,positive,1.099981583544024,1.099981583544024,True,False,correct,44,232
linear_svm_tfidf,130,1,1,positive,positive,0.5441685756567977,0.5441685756567977,True,False,correct,320,1817
linear_svm_tfidf,131,1,1,positive,positive,1.9050086855857853,1.9050086855857853,True,False,correct,147,763
linear_svm_tfidf,132,0,0,negative,negative,-0.1554786720351774,0.1554786720351774,True,False,correct,345,1856
linear_svm_tfidf,133,0,0,negative,negative,-1.896583240282536,1.896583240282536,True,False,correct,109,597
linear_svm_tfidf,134,0,1,negative,positive,0.032108043094658,0.032108043094658,False,True,false_positive,212,1248
linear_svm_tfidf,135,0,0,negative,negative,-1.482775938577444,1.482775938577444,True,False,correct,312,1627
linear_svm_tfidf,136,0,0,negative,negative,-2.5730503692050983,2.5730503692050983,True,False,correct,391,2161
linear_svm_tfidf,137,0,0,negative,negative,-2.563296197680553,2.563296197680553,True,False,correct,529,2781
linear_svm_tfidf,138,1,1,positive,positive,1.0785260420608704,1.0785260420608704,True,False,correct,149,715
linear_svm_tfidf,139,0,0,negative,negative,-0.9651461563888938,0.9651461563888938,True,False,correct,45,237
linear_svm_tfidf,140,0,0,negative,negative,-2.2863931233753507,2.2863931233753507,True,False,correct,182,987
linear_svm_tfidf,141,0,0,negative,negative,-0.2445929654928966,0.2445929654928966,True,False,correct,128,689
linear_svm_tfidf,142,1,1,positive,positive,0.3959100383221082,0.3959100383221082,True,False,correct,275,1566
linear_svm_tfidf,143,0,0,negative,negative,-0.92880113379653,0.92880113379653,True,False,correct,159,850
linear_svm_tfidf,144,0,0,negative,negative,-0.7101787663737111,0.7101787663737111,True,False,correct,226,1181
linear_svm_tfidf,145,0,0,negative,negative,-2.0662097524031826,2.0662097524031826,True,False,correct,95,505
linear_svm_tfidf,146,1,1,positive,positive,0.1312622915601727,0.1312622915601727,True,False,correct,72,380
linear_svm_tfidf,147,1,1,positive,positive,1.5775357247548447,1.5775357247548447,True,False,correct,299,1627
linear_svm_tfidf,148,1,0,positive,negative,-1.0438100836238977,1.0438100836238977,False,True,false_negative,317,1768
linear_svm_tfidf,149,1,1,positive,positive,0.6568100877565541,0.6568100877565541,True,False,correct,250,1253
linear_svm_tfidf,150,0,0,negative,negative,-2.02299239165512,2.02299239165512,True,False,correct,172,914
